Absolute_Downloads,Change_Downloads,Change Ratio_Downloads,Absolute_Revenue,Change_Revenue,Change_Ratio_Revenue,Category,In_App_Purchases,Contains_Ads,Changed_Free_to_Paid,Free
987448579,85637970,0.094962256,92960.32,-129074.72,-0.581325902,Communication,FALSE,FALSE,FALSE,TRUE
843974561,44444656,0.055588485,123185.8,123185.8,0,Communication,FALSE,FALSE,,TRUE
750298558,-90192790,-0.1073096,15.37,15.37,0,Social,FALSE,TRUE,FALSE,TRUE
467443697,49465262,0.118344053,0,0,0,Social,FALSE,TRUE,FALSE,TRUE
278450963,82599265,0.421743931,0,0,0,Tools,FALSE,TRUE,FALSE,TRUE
274359831,-41128091,-0.130363441,2592387.89,1611048.57,1.6416835,Social,TRUE,TRUE,FALSE,TRUE
269873697,26276923,0.107870571,4919016.28,3374420.63,2.184662782,Communication,FALSE,TRUE,FALSE,TRUE
216508726,15553497,0.077397822,9648900.83,-869138.59,-0.082633137,Arcade,TRUE,TRUE,FALSE,TRUE
199335887,24415351,0.139579672,0,0,0,Maps & Navigation,FALSE,FALSE,FALSE,TRUE
193644369,19689908,0.113190015,89524007.62,55132488.52,1.603083841,Entertainment,FALSE,TRUE,FALSE,TRUE
154024472,18779976,0.138859448,88784416.81,-115664860.1,-0.565738661,Music & Audio,FALSE,TRUE,FALSE,TRUE
151229935,-27148694,-0.15219701,8839.08,866.23,0.108647472,Communication,TRUE,TRUE,FALSE,TRUE
147455902,26523641,0.219326429,336885572.2,192911231.7,1.339900089,Entertainment,TRUE,FALSE,FALSE,TRUE
140048514,78831358,1.287733099,1092926771,680961985,1.652961632,Action,FALSE,FALSE,,TRUE
139435673,31099789,0.287068216,0,0,0,Entertainment,FALSE,FALSE,FALSE,TRUE
138955815,-2571524,-0.018169804,2142361.3,-467302.6,-0.179066201,Casual,TRUE,TRUE,FALSE,TRUE
137979331,60270050,0.775583678,1895.31,-38797.95,-0.953424474,Entertainment,TRUE,FALSE,FALSE,TRUE
132844295,-24907939,-0.157892781,673559532.4,60638576.48,0.098933763,Strategy,TRUE,FALSE,FALSE,TRUE
132790389,88047567,1.967859046,1290982.55,1200247.62,13.22806575,Entertainment,FALSE,TRUE,FALSE,TRUE
130387473,73321356,1.284849221,0,0,0,Shopping,FALSE,FALSE,FALSE,TRUE
128434634,25565678,0.248526659,97405740.97,30317848.89,0.451912379,Sports,TRUE,TRUE,FALSE,TRUE
128056603,17775387,0.161182363,0,0,0,Shopping,FALSE,TRUE,FALSE,TRUE
127135183,-67998400,-0.348471027,0,0,0,Tools,FALSE,TRUE,FALSE,TRUE
126348058,22336470,0.214749822,0,0,0,Tools,FALSE,FALSE,FALSE,TRUE
124568274,-3173619,-0.024843995,593016137.4,133552611.9,0.290670759,Casual,TRUE,FALSE,FALSE,TRUE
122980497,-2470124,-0.01969001,970.42,-4475.47,-0.821806904,Photography,FALSE,TRUE,FALSE,TRUE
122965619,32090662,0.353129873,0,0,0,Social,FALSE,TRUE,FALSE,TRUE
121821043,97268140,3.961573912,21882212.78,3786049.77,0.209218372,Action,TRUE,FALSE,,TRUE
118829578,-1850294,-0.01533225,21294.93,-5911.06,-0.217270535,News & Magazines,FALSE,TRUE,FALSE,TRUE
112349794,21944891,0.242740054,0,0,0,Video Players & Editors,FALSE,TRUE,FALSE,TRUE
111561644,7290331,0.069916939,633260.06,-117265.62,-0.156244647,Communication,TRUE,FALSE,FALSE,TRUE
108547931,-104782474,-0.491174589,1209760.14,-2263115.18,-0.651654601,Arcade,TRUE,TRUE,FALSE,TRUE
107862227,-16767476,-0.134538361,526973355.3,-236963236.5,-0.310187048,Strategy,TRUE,FALSE,FALSE,TRUE
107699790,-87041113,-0.446958557,381667.92,-238823.47,-0.384894092,Action,TRUE,TRUE,FALSE,TRUE
104881950,21592142,0.259241107,1486520.47,317620.14,0.271725597,Photography,TRUE,TRUE,FALSE,TRUE
104288674,14721737,0.164365753,0,0,0,Shopping,FALSE,FALSE,FALSE,TRUE
103192626,251855,0.002446601,3744361.28,-1547717.75,-0.292459304,Casual,TRUE,TRUE,FALSE,TRUE
101541408,87246344,6.103249625,64613.61,56211.1,6.689798644,Photography,TRUE,TRUE,FALSE,TRUE
98186153,16032275,0.195149339,0,0,0,Travel & Local,FALSE,TRUE,FALSE,TRUE
97469339,38133161,0.642662913,573700.67,372467.23,1.850921149,Communication,TRUE,TRUE,FALSE,TRUE
96057016,-31003107,-0.244003439,9120860.8,-1937588.75,-0.175213419,Communication,TRUE,TRUE,FALSE,TRUE
96052430,-39652657,-0.292197278,0,0,0,Photography,FALSE,FALSE,FALSE,TRUE
94061328,-49481193,-0.344714532,199675226.2,-6260124.4,-0.030398493,Communication,FALSE,FALSE,FALSE,TRUE
93764875,10147125,0.121351328,13525131.94,9891644.65,2.722355649,Social,TRUE,FALSE,FALSE,TRUE
