Downloads,Revenue,Category,In_App_Purchases,Ads,Free
14025020,381499833.4,Action,TRUE,TRUE,TRUE
47626428,308761551.4,Casual,TRUE,TRUE,TRUE
59717242,306847606.8,Lifestyle,TRUE,TRUE,TRUE
9644402,269660310.2,Role Playing,TRUE,TRUE,TRUE
36942437,198454419.1,Music & Audio,TRUE,TRUE,TRUE
71314720,162300638.8,Video Players & Editors,TRUE,TRUE,TRUE
37779102,125939214,Casual,TRUE,TRUE,TRUE
60991823,118406545,Adventure,TRUE,TRUE,TRUE
33519732,111418580.8,Card,TRUE,TRUE,TRUE
32797250,109740562.6,Casual,TRUE,TRUE,TRUE
14686144,109362946.4,Card,TRUE,TRUE,TRUE
128434634,97405740.97,Sports,TRUE,TRUE,TRUE
40143901,93283348.74,Casual,TRUE,TRUE,TRUE
21359685,93021339.58,Puzzle,TRUE,TRUE,TRUE
15049613,89988699.1,Casino,TRUE,TRUE,TRUE
13590913,86784835.4,Sports,TRUE,TRUE,TRUE
11582404,82036527.19,Casino,TRUE,TRUE,TRUE
72519665,80682648.59,Action,TRUE,TRUE,TRUE
21656331,75077137.8,Sports,TRUE,TRUE,TRUE
90129352,72451153.53,Music & Audio,TRUE,TRUE,TRUE
21879473,68639024,Strategy,TRUE,TRUE,TRUE
9012161,68352804.38,Strategy,TRUE,TRUE,TRUE
30042900,66481204.09,Simulation,TRUE,TRUE,TRUE
9553617,65688598.07,Role Playing,TRUE,TRUE,TRUE
28727958,64890981.39,Racing,TRUE,TRUE,TRUE
33719743,62081881.7,Action,TRUE,TRUE,TRUE
39996076,61319714.52,Simulation,TRUE,TRUE,TRUE
30208384,60132169.53,Simulation,TRUE,TRUE,TRUE
25780031,58372375.15,Simulation,TRUE,TRUE,TRUE
9792149,57833189.91,Puzzle,TRUE,TRUE,TRUE
47441944,55301576.97,Casual,TRUE,TRUE,TRUE
8508822,52427445.44,Puzzle,TRUE,TRUE,TRUE
36368242,51555649.27,Simulation,TRUE,TRUE,TRUE
9192578,51449962.47,Role Playing,TRUE,TRUE,TRUE
17879447,51196310.59,Communication,TRUE,TRUE,TRUE
30968000,49121318.16,Communication,TRUE,TRUE,TRUE
16365540,48292237.27,Puzzle,TRUE,TRUE,TRUE
28607803,47564793.72,Social,TRUE,TRUE,TRUE
31994122,42667984.25,Sports,TRUE,TRUE,TRUE
49780955,40365158.88,Arcade,TRUE,TRUE,TRUE
13892765,35903848.33,Simulation,TRUE,TRUE,TRUE
37234633,34997439.12,Social,TRUE,TRUE,TRUE
26411506,33524652.28,Action,TRUE,TRUE,TRUE
28531532,32109343.77,Simulation,TRUE,TRUE,TRUE
13545997,31761817.19,Puzzle,TRUE,TRUE,TRUE
15373509,31230071.53,Music & Audio,TRUE,TRUE,TRUE
23259612,30220898.76,Role Playing,TRUE,TRUE,TRUE
20517596,29479058.01,Health & Fitness,TRUE,TRUE,TRUE
22514551,28176457.64,Tools,TRUE,TRUE,TRUE
7583918,28076152.41,Puzzle,TRUE,TRUE,TRUE
18872291,27092623.86,Simulation,TRUE,TRUE,TRUE
29047727,26395007.31,Music & Audio,TRUE,TRUE,TRUE
25051390,25341164.8,Sports,TRUE,TRUE,TRUE
8687492,23216598.19,Casual,TRUE,TRUE,TRUE
14102327,23177583.15,Social,TRUE,TRUE,TRUE
7492924,22419278.39,Role Playing,TRUE,TRUE,TRUE
12047920,22406399.02,Sports,TRUE,TRUE,TRUE
13565975,21871140.54,Puzzle,TRUE,TRUE,TRUE
10518787,21666195.84,Casual,TRUE,TRUE,TRUE
40686066,20782525.64,Casual,TRUE,TRUE,TRUE
51776696,20437772.38,Action,TRUE,TRUE,TRUE
74697417,20133495.89,Action,TRUE,TRUE,TRUE
46667071,19814874.71,Word,TRUE,TRUE,TRUE
11828839,19188579.96,Board,TRUE,TRUE,TRUE
10967721,19177175.95,Social,TRUE,TRUE,TRUE
11128505,18313231.97,Simulation,TRUE,TRUE,TRUE
8821188,18190059.6,Casual,TRUE,TRUE,TRUE
14605492,17537865.28,Music & Audio,TRUE,TRUE,TRUE
16451993,17342578.32,Casual,TRUE,TRUE,TRUE
22958461,17319245.93,Music & Audio,TRUE,TRUE,TRUE
29393721,17288502.22,Entertainment,TRUE,TRUE,TRUE
